Protein,Degree,ClusteringCoefficient
1810055G02Rik,3,0.0
MPRIP,15,0.13333333333333333
RAI14,15,0.12380952380952381
TPM1,15,0.10256410256410256
2810046L04Rik,2,0.0
ARF1,33,0.06451612903225806
ARF3,15,0.09523809523809523
4922501C03Rik,1,0.0
CPNE4,20,0.0
4930572J05Rik,6,0.0
C8orf55,2,0.0
PRKDC,119,0.0816386678455644
SPRR2B,3,0.0
SPRR2D,5,0.0
SPRR2E,4,0.0
SPRR2G,4,0.0
9830001H06Rik,9,0.1388888888888889
C1QBP,39,0.07017543859649122
CCDC165,6,0.06666666666666667
DYNLL1,88,0.016415868673050615
KIAA0889,6,0.13333333333333333
PPP2CA,97,0.09085051546391752
PPP2R1A,89,0.09525025536261492
PPP2R5A,16,0.275
PPP2R5E,11,0.41818181818181815
RNF41,14,0.10989010989010989
A1CF,6,0.13333333333333333
APOBEC1,9,0.09523809523809523
KHSRP,15,0.2
SYNCRIP,33,0.08901515151515152
A2M,36,0.012698412698412698
ADAMTS1,4,0.0
APOE,9,0.1388888888888889
IL10,4,0.0
IL4,2,0.0
LCAT,2,0.0
LEP,4,0.0
NGF,5,0.0
PAEP,9,0.0
AAGAB,2,1.0
EIF3C,28,0.20634920634920634
AATF,21,0.10952380952380952
CHEK2,39,0.0915915915915916
MAGED1,48,0.06028368794326241
MAPT,27,0.17663817663817663
PAWR,11,0.10909090909090909
PCBD2,29,0.029556650246305417
RB1,134,0.07530019077544607
RBL1,47,0.18501387604070305
RBL2,40,0.18461538461538463
RELA,149,0.066722579442736
Tsg101,1,0.0
ABCA1,17,0.11029411764705882
AOX1,1,0.0
APOA1,23,0.004761904761904762
CDC42,120,0.02564102564102564
COPS5,104,0.05899925317401045
CREBBP,239,0.05850708484230512
FADD,40,0.19743589743589743
FLOT1,12,0.10606060606060606
HGS,101,0.03089108910891089
PRPF8,34,0.18538324420677363
SDHB,5,0.3
SNTB2,12,0.13636363636363635
STX12,9,0.3611111111111111
UBC,8657,0.0009697415379924025
UGP1,1,0.0
XPC,20,0.17894736842105263
ABCA13,2,0.0
APOA2,5,0.0
ABCA2,3,0.6666666666666666
CDK5RAP2,18,0.0784313725490196
ABCA4,1,0.0
CNGB1,2,0.0
ABCB1,3,0.6666666666666666
DHX9,65,0.10480769230769231
PIM1,23,0.1383399209486166
ABCB7,4,0.3333333333333333
FECH,9,0.14285714285714285
ABCC2,5,0.3
PDZD3,3,0.0
Rdx,6,0.06666666666666667
SLC9A3R1,37,0.06554621848739496
ABCC8,2,0.0
KCNJ11,4,0.16666666666666666
RAPGEF4,4,0.0
ABCD1,8,0.32142857142857145
ABCD2,4,0.5
ABCD3,13,0.1282051282051282
PEX19,12,0.18181818181818182
ABCD4,4,0.3333333333333333
PEA15,12,0.24242424242424243
XRCC6,151,0.05474613686534217
ABCE1,8,0.25
RNASEL,2,1.0
UBASH3A,9,0.2777777777777778
ABCF3,8,0.25
ACIN1,14,0.37362637362637363
DNALI1,5,0.0
LAMTOR1,6,0.2
TOE1,8,0.17857142857142858
ABCG1,1,0.0
